单词,中文释义,英文释义,例句,音标
apple,苹果,A round fruit with red or green skin,I eat an apple every day.,/ˈæpl/
book,书,A written work published in printed form,I am reading a book.,/bʊk/
cat,猫,A small domesticated carnivorous mammal,The cat is sleeping on the sofa.,/kæt/
dog,狗,A domesticated carnivorous mammal,My dog likes to play fetch.,/dɒɡ/
happy,快乐的,Feeling or showing pleasure or contentment,I am very happy today.,/ˈhæpi/
school,学校,An institution for educating children,I go to school by bus.,/skuːl/
teacher,老师,A person who teaches,My teacher is very kind.,/ˈtiːtʃə(r)/
student,学生,A person who is studying,She is a good student.,/ˈstjuːdnt/
friend,朋友,A person you like and enjoy being with,He is my best friend.,/frend/
family,家庭,A group of related people,I love my family.,/ˈfæməli/
